# Blende
$p_o$, $dp_o$, $p_u$, $dp_u$
mbar, mbar, mbar, mbar
9.4e-4,.1e-4,5.6e-5,.1e-5
3.2e-3,.1e-3,9.8e-5,.1e-5
7.3e-3,.1e-3,1.8e-4,.1e-4
1.4e-2,.1e-2,3.2e-4,.1e-4
2.4e-2,.1e-2,5.6e-4,.1e-4
4.1e-2,.1e-2,1.0e-3,.1e-3
6.2e-2,.1e-2,1.9e-3,.1e-3
9.1e-2,.1e-2,3.3e-3,.1e-3
1.2e-1,.1e-1,5.4e-3,.1e-3
1.7e-1,.1e-1,1.0e-2,.1e-2
