# Rohr
$p_o$, $dp_o$, $p_u$, $dp_u$
mbar, mbar, mbar, mbar
5.9e-3,.1e-3,5.5e-5,.1e-5
2.2e-2,.1e-2,1.0e-4,.1e-4
4.2e-2,.1e-2,1.8e-4,.1e-4
6.6e-2,.1e-2,3.4e-4,.1e-4
8.7e-2,.1e-2,5.5e-4,.1e-4
1.2e-1,.1e-1,1.0e-3,.1e-3
1.5e-1,.1e-1,1.8e-3,.1e-3
2.0e-1,.1e-1,3.2e-3,.1e-3
2.4e-1,.1e-1,5.6e-3,.1e-3
3.1e-1,.1e-1,1.1e-2,.1e-2
