res, dres, V_ppin, dV_ppin, V_ppout, dV_ppout
kOhm, kOhm, mV, mV, V, V
6.43, .01, 424, 4.8, 3.88, .46
6.48, .01, 420, 4.7, 3.76, .45
6.65, .01, 428, 4.6, 3.80, .03
6.69, .01, 424, 2.3, 3.8, .02
6.79, .01, 428, 2.3, 3.8, .02
6.94, .01, 420, 3.4, 3.84, .02
7.05, .01, 416, 4.7, 3.88, .03
7.1, .01, 428, 4.3, 3.88, .04
7.21, .01, 420, 4.2, 3.96, .05
7.3, .01, 424, 3.98, 3.88, .05
