I/A,Bu/mT,dBu/mT,Bd/mT,dBd/mT,deltaB/sigma
8,436.0,7.551741521000305,436.0,7.551741521000305,0.0
9,484.6666666666667,8.394672914017159,485.6666666666667,8.411993422092849,-0.11900039900851098
10,530.3333333333334,9.185642782806946,538.3333333333334,9.324206847412457,-0.8644046450749231
11,566.6666666666666,9.814954576223638,575.6666666666666,9.970839148904837,-0.9097436398085729
12,601.6666666666666,10.421172358872745,598.6666666666666,10.369210834645678,0.2885949693255558
13,629.0,10.894599579608238,624.0,10.807997039229795,0.4607743568951522
