f / Hz	X / V	dX / V	Y / V	dY / V	A / V	dA / V	phi / rad	dphi/rad
4,967E+3	-2,060E-7	2,587E-8	4,800E-8	1,060E-8	2,115E-7	2,796E-8	2,913E+0	7,399E-1
4,967E+3	-2,220E-7	5,409E-8	7,200E-8	3,001E-8	2,334E-7	6,186E-8	2,828E+0	1,365E+0
4,967E+3	-2,940E-7	8,146E-8	1,200E-7	8,047E-8	3,175E-7	1,145E-7	2,754E+0	1,998E+0
4,968E+3	-2,540E-7	1,242E-7	-5,000E-8	6,683E-8	2,589E-7	1,410E-7	-2,947E+0	-4,195E+0
4,968E+3	-1,800E-7	4,021E-8	5,600E-8	1,900E-8	1,885E-7	4,447E-8	2,840E+0	1,154E+0
4,968E+3	-2,380E-7	7,785E-8	4,800E-8	7,056E-8	2,428E-7	1,051E-7	2,943E+0	4,432E+0
4,968E+3	-2,320E-7	7,029E-8	-1,800E-8	5,715E-8	2,327E-7	9,059E-8	-3,064E+0	-9,772E+0
4,968E+3	-2,240E-7	6,001E-8	4,400E-8	5,457E-8	2,283E-7	8,111E-8	2,948E+0	3,740E+0
4,969E+3	-1,780E-7	6,929E-8	1,020E-7	5,087E-8	2,052E-7	8,595E-8	2,621E+0	1,658E+0
4,969E+3	-1,700E-7	5,140E-8	4,600E-8	3,148E-8	1,761E-7	6,027E-8	2,877E+0	2,153E+0
4,969E+3	-2,220E-7	4,908E-8	2,400E-8	4,022E-8	2,233E-7	6,346E-8	3,034E+0	5,128E+0
4,970E+3	-2,720E-7	6,929E-8	4,200E-8	5,194E-8	2,752E-7	8,659E-8	2,988E+0	3,773E+0
4,970E+3	-2,660E-7	1,044E-7	5,000E-8	6,506E-8	2,707E-7	1,230E-7	2,956E+0	4,017E+0
4,970E+3	-1,940E-7	8,228E-8	1,740E-7	6,212E-8	2,606E-7	1,031E-7	2,410E+0	1,336E+0
4,970E+3	-2,940E-7	9,918E-8	1,140E-7	7,156E-8	3,153E-7	1,223E-7	2,772E+0	1,975E+0
4,970E+3	-1,680E-7	5,195E-8	2,200E-8	3,453E-8	1,694E-7	6,238E-8	3,011E+0	4,817E+0
4,971E+3	-1,120E-7	3,897E-8	5,200E-8	2,441E-8	1,235E-7	4,599E-8	2,707E+0	1,582E+0
4,971E+3	-2,500E-7	4,183E-8	-4,000E-9	3,027E-8	2,500E-7	5,163E-8	-3,126E+0	-2,366E+1
4,971E+3	-1,360E-7	6,871E-8	3,600E-8	5,216E-8	1,407E-7	8,627E-8	2,883E+0	4,424E+0
4,972E+3	-2,240E-7	4,426E-8	1,000E-8	3,304E-8	2,242E-7	5,524E-8	3,097E+0	1,025E+1
4,972E+3	-2,560E-7	8,393E-8	1,600E-8	5,218E-8	2,565E-7	9,883E-8	3,079E+0	1,009E+1
4,972E+3	-1,660E-7	1,500E-7	-2,740E-7	9,713E-8	3,204E-7	1,787E-7	-2,115E+0	-2,054E+0
4,972E+3	-2,040E-7	4,932E-8	-4,000E-9	4,132E-8	2,040E-7	6,435E-8	-3,122E+0	-3,226E+1
4,972E+3	-1,600E-7	8,372E-8	1,620E-7	8,079E-8	2,277E-7	1,163E-7	2,350E+0	1,699E+0
4,973E+3	-1,820E-7	5,971E-8	1,120E-7	4,935E-8	2,137E-7	7,747E-8	2,590E+0	1,423E+0
4,973E+3	-1,840E-7	5,289E-8	9,600E-8	3,915E-8	2,075E-7	6,581E-8	2,661E+0	1,328E+0
4,973E+3	-2,500E-7	1,046E-7	1,000E-7	1,002E-7	2,693E-7	1,449E-7	2,761E+0	2,999E+0
4,974E+3	-2,600E-7	8,655E-8	-1,600E-8	8,449E-8	2,605E-7	1,210E-7	-3,080E+0	-1,630E+1
4,974E+3	-2,460E-7	4,061E-8	3,400E-8	1,952E-8	2,483E-7	4,506E-8	3,004E+0	1,795E+0
4,974E+3	-2,240E-7	3,137E-8	2,800E-8	2,931E-8	2,257E-7	4,293E-8	3,017E+0	3,186E+0
4,974E+3	-1,380E-7	5,725E-8	-1,400E-8	4,238E-8	1,387E-7	7,123E-8	-3,040E+0	-9,290E+0
4,974E+3	-1,620E-7	8,418E-8	6,200E-8	4,711E-8	1,735E-7	9,646E-8	2,776E+0	2,555E+0
4,975E+3	-2,040E-7	2,515E-8	2,200E-8	1,193E-8	2,052E-7	2,784E-8	3,034E+0	1,687E+0
4,975E+3	-2,080E-7	2,322E-8	2,200E-8	8,206E-9	2,092E-7	2,462E-8	3,036E+0	1,182E+0
4,975E+3	-1,840E-7	3,881E-8	1,000E-8	2,944E-8	1,843E-7	4,871E-8	3,087E+0	9,112E+0
4,976E+3	-2,400E-7	3,617E-8	-4,000E-9	2,178E-8	2,400E-7	4,222E-8	-3,125E+0	-1,702E+1
4,976E+3	-2,140E-7	3,298E-8	3,400E-8	2,135E-8	2,167E-7	3,929E-8	2,984E+0	1,930E+0
4,976E+3	-1,920E-7	3,400E-8	-6,000E-9	2,403E-8	1,921E-7	4,163E-8	-3,110E+0	-1,247E+1
4,976E+3	-1,900E-7	6,874E-8	2,200E-8	5,987E-8	1,913E-7	9,115E-8	3,026E+0	8,308E+0
4,976E+3	-1,860E-7	3,169E-8	1,000E-8	1,323E-8	1,863E-7	3,434E-8	3,088E+0	4,119E+0
4,977E+3	-1,760E-7	3,164E-8	4,400E-8	2,027E-8	1,814E-7	3,758E-8	2,897E+0	1,433E+0
4,977E+3	-1,320E-7	3,882E-8	0,000E+0	2,082E-8	1,320E-7	4,405E-8	3,142E+0	Inf
4,977E+3	-1,800E-7	2,986E-8	2,600E-8	2,551E-8	1,819E-7	3,928E-8	2,998E+0	2,984E+0
4,978E+3	-2,760E-7	3,560E-8	4,000E-8	2,179E-8	2,789E-7	4,175E-8	2,998E+0	1,678E+0
4,978E+3	-1,760E-7	3,676E-8	3,400E-8	1,887E-8	1,793E-7	4,132E-8	2,951E+0	1,750E+0
4,978E+3	-1,820E-7	2,956E-8	2,000E-8	2,533E-8	1,831E-7	3,893E-8	3,032E+0	3,872E+0
4,978E+3	-2,180E-7	3,616E-8	3,200E-8	2,059E-8	2,203E-7	4,161E-8	2,996E+0	1,991E+0
4,978E+3	-2,240E-7	3,798E-8	1,200E-8	2,047E-8	2,243E-7	4,315E-8	3,088E+0	5,294E+0
4,979E+3	-1,600E-7	4,378E-8	4,800E-8	2,606E-8	1,670E-7	5,095E-8	2,850E+0	1,733E+0
4,979E+3	-2,080E-7	3,287E-8	3,800E-8	2,146E-8	2,114E-7	3,926E-8	2,961E+0	1,737E+0
4,979E+3	-1,620E-7	3,205E-8	3,600E-8	2,092E-8	1,660E-7	3,828E-8	2,923E+0	1,794E+0
4,980E+3	-1,980E-7	3,657E-8	2,400E-8	2,201E-8	1,994E-7	4,268E-8	3,021E+0	2,826E+0
4,980E+3	-1,500E-7	4,183E-8	7,200E-8	3,560E-8	1,664E-7	5,493E-8	2,694E+0	1,529E+0
4,980E+3	-1,740E-7	4,350E-8	6,200E-8	2,743E-8	1,847E-7	5,143E-8	2,799E+0	1,423E+0
4,980E+3	-2,000E-7	4,397E-8	-3,600E-8	1,926E-8	2,032E-7	4,800E-8	-2,963E+0	-1,714E+0
4,980E+3	-1,820E-7	4,102E-8	6,000E-9	1,509E-8	1,821E-7	4,370E-8	3,109E+0	7,849E+0
4,981E+3	-1,720E-7	3,731E-8	1,400E-8	2,319E-8	1,726E-7	4,393E-8	3,060E+0	5,112E+0
4,981E+3	-1,780E-7	3,029E-8	5,800E-8	1,795E-8	1,872E-7	3,521E-8	2,827E+0	9,984E-1
4,981E+3	-1,860E-7	3,285E-8	6,600E-8	2,322E-8	1,974E-7	4,023E-8	2,801E+0	1,103E+0
4,982E+3	-2,120E-7	3,689E-8	-1,600E-8	2,155E-8	2,126E-7	4,272E-8	-3,066E+0	-4,164E+0
4,982E+3	-2,040E-7	3,872E-8	3,600E-8	2,319E-8	2,072E-7	4,513E-8	2,967E+0	1,992E+0
4,982E+3	-1,800E-7	4,509E-8	-2,000E-9	3,422E-8	1,800E-7	5,660E-8	-3,130E+0	-5,356E+1
