I/A,Bu/mT,dBu/mT,Bd/mT,dBd/mT,theo_Bu/mT,theo_dBu/mT,theo_Bd/mT,theo_dBd/mT
8,436.0,7.551741521000305,436.0,7.551741521000305,442.65563141703876,28.505738553921457,445.55557158342435,28.4378801846401
9,484.6666666666667,8.394672914017159,485.6666666666667,8.411993422092849,482.11712494370863,29.911276959897727,484.4293348664802,29.83894031413187
10,530.3333333333334,9.185642782806946,538.3333333333334,9.324206847412457,521.5786184703785,31.407826055258667,523.3030981495361,31.330775480919804
11,566.6666666666666,9.814954576223638,575.6666666666666,9.970839148904837,561.0401119970484,32.98299978688346,562.176861432592,32.90103993633622
12,601.6666666666666,10.421172358872745,598.6666666666666,10.369210834645678,600.5016055237182,34.62606968231041,601.0506247156479,34.53903833403702
13,629.0,10.894599579608238,624.0,10.807997039229795,639.9630990503881,36.32782428972824,639.9243879987038,36.23558627480547
